Path,Category,Prediction,Shape of the item.,Details of the item.,Use of item.,Describe how this item is typically obtained.,Identify some common places where the item might be found or used.
/content/Dataset_simple_sketch/test/teapot/17443.png,teapot,teapot,teapot,a teapot drawn in a single line on a white background,teapot,it is typically obtained by drawing a line on a white background,"a teapot can be found in a kitchen, in a bathroom, in a bedroom, in a living room, in "
/content/Dataset_simple_sketch/test/teapot/17475.png,teapot,teapot,a teapot,single line drawing of a teapot,a teapot,by drawing a continuous line on a white background,"a teapot can be found in a kitchen, in a bathroom, in a bedroom, in a living room, in "
/content/Dataset_simple_sketch/test/teapot/17495.png,teapot,teapot,single line drawing of a teapot,a single line drawing of a teapot,a single line drawing of a pipe,it is usually obtained from a tavern,"in the kitchen, in the bathroom, in the kitchen, in the bathroom, in the kitchen, in the bathroom, in the kitchen, in the"
/content/Dataset_simple_sketch/test/teapot/17509.png,teapot,teapot,teapot,1 credit usd $1,1 credit usd $1,it is typically obtained by drawing a simple outline of a teapot on a white background,"a teapot can be found in a kitchen, in a bathroom, in a bedroom, in a living room, in "
/content/Dataset_simple_sketch/test/teapot/17497.png,teapot,teddy-bear,shape of the item,a drawing of a boat on a white background,how to use a teddy bear as a teddy bear teddy bear as a teddy,"it is typically obtained by obtaining a sample from a body of water, such as a lake, river, or ocean","kitchen, bathroom, bedroom, living room, dining room, bedroom, bathroom, kitchen, living room, bedroom, bathroom, kitchen, living room,"
/content/Dataset_simple_sketch/test/teapot/17507.png,teapot,teapot,a vase with a pencil,a single line drawing of a vase with a pencil,a vase and a pencil,using a pencil and a pen to draw a line on a white piece of paper,"in a kitchen, in a bathroom, in a bedroom, in a living room, in a bedroom, in a bathroom"
/content/Dataset_simple_sketch/test/teapot/17476.png,teapot,teapot,a teapot,line drawing of a teapot on a white background,a teapot,it is usually obtained by drawing a single line on a white background,"teapots, teapots, teapots, teapots, teapots, teapots, teapots, teapot"
/content/Dataset_simple_sketch/test/teapot/17445.png,teapot,teapot,teapot,a line drawing of a teapot on a white background,a teapot,it is typically obtained by drawing a simple outline of a teapot on a white background,"a teapot can be found in a kitchen, in a bathroom, in a bedroom, in a living room, in "
/content/Dataset_simple_sketch/test/teapot/17461.png,teapot,teapot,teapot,a teapot,teapot,it is typically obtained by drawing a simple outline of a teapot on a white background,"a teapot can be found in a kitchen, in a bathroom, in a bedroom, in a living room, in "
/content/Dataset_simple_sketch/test/teapot/17503.png,teapot,teapot,teapot,a teapot with a handle on a white background,teapot,it is usually obtained by drawing a simple outline of a teapot on a white background,"a teapot can be found in a kitchen, in a bathroom, in a bedroom, in a living room, in "
/content/Dataset_simple_sketch/test/teapot/17488.png,teapot,kangaroo,octopus,a line drawing of a snake on a white background,a line drawing of a snake on a white background,it is typically obtained by drawing a line on a white background,"in a zoo, zoo, zoo, zoo, zoo, z"
/content/Dataset_simple_sketch/test/teapot/17505.png,teapot,teapot,a teapot,drawing of a teapot - drawing of a teapot - drawing of a teapot - drawing of a teapot,how to draw a teapot,it is typically obtained by drawing a line on a white background,"a teapot can be found in a kitchen, on a table, in a bathroom, on a shelf, in a"
