Path,Category,Can you describe the shape or form of the item?,What details become apparent upon closer inspection of the image?,What role does the item in the image serve?,What colors are commonly associated with the item?,How is the item typically obtained?,What are some common places where the item might be found or used?
/content/Dataset_simple_sketch/test/guitar/7604.png,guitar,ukulele ukulele ukulele ukulele ukulele ukulele ukulele uk,the shape of the ukulele,a musical instrument,black and white,from a ukulele,ukulele ukulele ukulele ukulele ukulele ukulele ukulele uk
/content/Dataset_simple_sketch/test/octopus/11201.png,octopus,octopus,the octopus has a long tail,octopus,black and white,from a zoo or aquarium,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/harp/7922.png,harp,harp,the harp is shaped like a harp,harp,black and white,in the form of a harp or harpsichord,a harp is a stringed musical instrument that is played by a harpist
/content/Dataset_simple_sketch/test/book/1922.png,book,open book,the page is open and the text is written on the page,a book,black and white,from a library,"bookshelf, library, library, library, library, library, library, library, library, library, library, library, library, library,"
/content/Dataset_simple_sketch/test/hourglass/8722.png,hourglass,spherical,the shape of the hourglass is a spherical spherical spherical spherical,a sand timer,black and white,from a sand dune,"a sand timer, a sand timer, a sand timer, a sand time"
/content/Dataset_simple_sketch/test/tractor/18325.png,tractor,a line drawing of a tractor,there is a tractor in the background,it is a tractor,black and white,from a farm,"a farm, a farmyard, a farm, a farm, a farm, a farm, a farm, "
/content/Dataset_simple_sketch/test/radio/13444.png,radio,tv,the tv has a remote control,it is a radio,black and white,from a radio station,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/bookshelf/2003.png,bookshelf,a line drawing of a shelf,there is a shelf on the right side of the image,a bookcase,black and white,from a furniture store,"kitchen, dining room, living room, bedroom, bathroom"
/content/Dataset_simple_sketch/test/bulldozer/2561.png,bulldozer,the shape of the item is a rectangle,there is a slit in the middle of the image,it is a book,black and white,it is usually obtained from a pawn shop or pawn shop,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/ipod/9041.png,ipod,a circle with a hole in the middle,there is a hole in the middle of the paper,it is a bag,black and white,it is typically obtained as a gift from a friend or family member,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/toilet/18001.png,toilet,a toilet seat,"the shape of the toilet seat, the shape of the toilet bowl, the shape of the toilet seat, the shape of the toilet bowl, the shape",a toilet seat,black and white,from a toilet manufacturer,"bathroom, kitchen, bedroom, living room, bedroom, bathroom, kitchen, living room, bedroom, bathroom, bedroom, bathroom, bedroom, bathroom,"
/content/Dataset_simple_sketch/test/megaphone/10163.png,megaphone,a line drawing of a megaphone,a line drawing of a megaphone,a loudspeaker,black and white,it is a loudspeaker,"radios, televisions, tvs, radios, radios, tvs, radios, tvs,"
