Path,Category,Can you describe the shape or form of the item?,What details become apparent upon closer inspection of the image?,What role does the item in the image serve?,How is the item typically obtained?,What are some common places where the item might be found or used?
/content/Dataset_simple_sketch/test/chandelier/4152.png,chandelier,the shape of the item is a circle,there is a light fixture hanging from the ceiling,a light fixture,from a hardware store,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, dining room, bedroom, living room, bedroom, living room,"
/content/Dataset_simple_sketch/test/chandelier/4132.png,chandelier,spherical,the shape of the object is a spherical sphere with a string hanging from it,hangs from a string,from a craft store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/chandelier/4097.png,chandelier,a line drawing of a chandelier,a single line drawing of a chandelier,it is a chandelier,from a reputable source,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, dining room, bedroom, living room, bedroom, living room,"
/content/Dataset_simple_sketch/test/chandelier/4127.png,chandelier,the shape of the item is a bell,the shape of the bell is a spherical shape,it is a bell,in the form of a bell,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/chandelier/4156.png,chandelier,a line drawing of a plant hanging from a wire,the drawing is a line drawing of a plant hanging from a wire,it is a branch of a plant,from a flowering plant,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/chandelier/4098.png,chandelier,a line drawing of a chandelier,a single line drawing of a chandelier,a light fixture,from a store,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, dining room, bedroom, living room, bedroom, living room,"
/content/Dataset_simple_sketch/test/chandelier/4133.png,chandelier,a line drawing of a lamp,the drawing is a single line drawing of a hanging lamp,a light fixture,from a store,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, dining room, bedroom, living room, bedroom, living room,"
/content/Dataset_simple_sketch/test/chandelier/4148.png,chandelier,a single line drawing of a chandelier,a single line drawing of a chandelier,a light fixture,from a store,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, dining room, bedroom, living room, bedroom, living room,"
/content/Dataset_simple_sketch/test/chandelier/4120.png,chandelier,the shape of the item is a spherical shape,the shape of the mouth and the shape of the teeth,it's a boat,it is usually obtained from a fisherman or a sailor,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/chandelier/4123.png,chandelier,the item is shaped like a chandelier,the chandelier is made of wrought iron,it is a chandelier,from an antique store,"kitchen, bathroom, bedroom, living room, dining room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom"
