Path,Category,Prediction,Can you describe the shape or form of the item?,What details become apparent upon closer inspection of the image?,What role does the item in the image serve?,How is the item typically obtained?,What are some common places where the item might be found or used?
/content/Dataset_simple_sketch/test/mug/11014.png,mug,mug,mug,the mug has a handle and a spout,it is a mug,from a coffee shop,"coffee shops, cafeterias, restaurants, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/mug/11031.png,mug,mug,can you describe the shape or form of the item,the shape of the mug is a spherical cup with a spherical lid,it is a cup,it is typically obtained from a mug,"mugs, cups, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/mug/10991.png,mug,mug,mug,the mug is shaped like a beer mug,it is a beer mug,a beer mug,"beer mugs, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/mug/10985.png,mug,mug,coffee mug,the mug has a handle and a spout,coffee cup,from a coffee shop,"coffee shops, cafeterias, restaurants, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/mug/10999.png,mug,mug,coffee mug,the mug is shaped like a mug,coffee mug,coffee mug,"coffee shops, cafes, restaurants, bars, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/mug/10966.png,mug,mug,mug,the mug is shaped like a cup with a handle,coffee mug,from a coffee shop,"coffee shops, cafes, restaurants, bars, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/mug/10977.png,mug,mug,the shape of the item is a cup,there is a slit in the side of the cup,it is a cup,from a bakery,"coffee shops, restaurants, cafeterias, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/mug/11017.png,mug,mug,a mug,the mug has a handle and a spout,it is a measuring cup,from a grocery store,"coffee shops, restaurants, cafeterias, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/mug/11027.png,mug,mug,a jug,there is a handle on the side of the jug,a coffee pot,from a coffee shop,"coffee shops, cafeterias, restaurants, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/mug/10965.png,mug,mug,mug,the mug has a handle and a spout,coffee mug,from a coffee shop,"coffee shops, cafes, restaurants, bars, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/mug/11038.png,mug,mug,coffee mug,the mug has a handle and a spout,coffee cup,from a coffee shop,"coffee shops, cafes, restaurants, cafeterias, cafeterias, cafeterias, cafeterias, restaurants,"
/content/Dataset_simple_sketch/test/mug/10969.png,mug,mug,a mug,the mug has a handle and a spout,it is a cup,from a coffee shop,"coffee shops, cafeterias, restaurants, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/mug/11040.png,mug,mug,mug,the mug has a handle and a spout,it is a cup,from a coffee shop,"coffee shops, cafes, restaurants, bars, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/mug/11022.png,mug,mug,a cup with a spout,the shape of the cup is a spherical cup with a spherical lid and a spher,it is a cup,from a coffee shop,"coffee mugs, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/mug/11030.png,mug,jug,jug,the jug has a handle and a spout,it is a jug,from a coffee shop,"coffee shops, cafes, hotels, restaurants, cafeterias, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/mug/10971.png,mug,mug,spherical,the mug has a handle and a spout,it is a water jug,from a local hardware store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/ant/293.png,ant,bee,the shape of the item is a line drawing of a bee,the bee has a stinger attached to it's head,as a character in a video game,in the form of a swarm of bees or a swarm of locusts,"a beehive, a beehive hive, a beehive hive, a be"
